"Collected","GameId","GameState","FinalMessage","Round","Region","Network","StartDate","StartTime","TeamName","Versus","TeamScore","OpponentScore","WinningTeam"
"03/22/2024 23:02:02","2427556","final","FINAL","First Round","WEST","truTV","03-22-2024","03:10PM ET","Clemson","New Mexico","77","56","Clemson"
"03/22/2024 23:02:02","2427552","final","FINAL","First Round","EAST","CBS","03-22-2024","03:15PM ET","Stetson","UConn","91","52","UConn"
"03/22/2024 23:02:02","2427552","final","FINAL","First Round","EAST","CBS","03-22-2024","03:15PM ET","UConn","Stetson","91","52","UConn"
"03/22/2024 23:02:02","2427561","live","2ND HALF","First Round","EAST","TNT","03-22-2024","04:33PM ET","Yale","Auburn","76","78",
"03/22/2024 23:02:02","2427561","live","2ND HALF","First Round","EAST","TNT","03-22-2024","04:33PM ET","Auburn","Yale","76","78",
"03/22/2024 23:02:02","2427548","final","FINAL","First Round","SOUTH","TBS","03-22-2024","04:38PM ET","Colorado","Florida","100","102","Colorado"
"03/22/2024 23:02:02","2427548","final","FINAL","First Round","SOUTH","TBS","03-22-2024","04:38PM ET","Florida","Colorado","100","102","Colorado"
"03/22/2024 23:02:02","2427559","live","1ST HALF","First Round","SOUTH","TNT","03-22-2024","07:00PM ET","Texas A&M","Nebraska","0","0",
"03/22/2024 23:02:02","2427559","live","1ST HALF","First Round","SOUTH","TNT","03-22-2024","07:00PM ET","Nebraska","Texas A&M","0","0",
"03/22/2024 23:02:02","2427555","pre","","First Round","SOUTH","CBS","03-22-2024","07:10PM ET","Vermont","Duke","","",
"03/22/2024 23:02:02","2427555","pre","","First Round","SOUTH","CBS","03-22-2024","07:10PM ET","Duke","Vermont","","",
"03/22/2024 23:02:02","2427550","pre","","First Round","MIDWEST","TBS","03-22-2024","07:25PM ET","Grambling","Purdue","","",
"03/22/2024 23:02:02","2427550","pre","","First Round","MIDWEST","TBS","03-22-2024","07:25PM ET","Purdue","Grambling","","",
"03/22/2024 23:02:02","2427563","pre","","First Round","WEST","truTV","03-22-2024","07:35PM ET","Col. of Charleston","Alabama","","",
"03/22/2024 23:02:02","2427563","pre","","First Round","WEST","truTV","03-22-2024","07:35PM ET","Alabama","Col. of Charleston","","",
"03/22/2024 23:02:02","2427558","pre","","First Round","SOUTH","TNT","03-22-2024","09:20PM ET","Longwood","Houston","","",
"03/22/2024 23:02:02","2427558","pre","","First Round","SOUTH","TNT","03-22-2024","09:20PM ET","Houston","Longwood","","",
"03/22/2024 23:02:02","2427554","pre","","First Round","SOUTH","CBS","03-22-2024","09:40PM ET","James Madison","Wisconsin","","",
"03/22/2024 23:02:02","2427554","pre","","First Round","SOUTH","CBS","03-22-2024","09:40PM ET","Wisconsin","James Madison","","",
"03/22/2024 23:02:02","2427551","pre","","First Round","MIDWEST","TBS","03-22-2024","09:55PM ET","TCU","Utah St.","","",
"03/22/2024 23:02:02","2427551","pre","","First Round","MIDWEST","TBS","03-22-2024","09:55PM ET","Utah St.","TCU","","",
"03/22/2024 23:02:02","2427562","pre","","First Round","WEST","truTV","03-22-2024","10:05PM ET","Grand Canyon","Saint Mary's (CA)","","",
"03/22/2024 23:02:02","2427562","pre","","First Round","WEST","truTV","03-22-2024","10:05PM ET","Saint Mary's (CA)","Grand Canyon","","",
"03/22/2024 23:02:02","2429735","pre","","","","","03-23-2024","11:30AM ET","North Texas","Seton Hall","","",
"03/22/2024 23:02:02","2429735","pre","","","","","03-23-2024","11:30AM ET","Seton Hall","North Texas","","",
"03/22/2024 23:02:02","","pre","","Second Round","WEST","CBS","03-23-2024","12:45PM ET","Dayton","Arizona","","",
"03/22/2024 23:02:02","","pre","","Second Round","WEST","CBS","03-23-2024","12:45PM ET","Arizona","Dayton","","",
"03/22/2024 23:02:02","2426905","pre","","","","","03-23-2024","01:00PM ET","Arkansas St.","Bethune-Cookman","","",
"03/22/2024 23:02:02","2426905","pre","","","","","03-23-2024","01:00PM ET","Bethune-Cookman","Arkansas St.","","",
"03/22/2024 23:02:02","2429743","pre","","","","","03-23-2024","02:00PM ET","Bradley","Cincinnati","","",
"03/22/2024 23:02:02","2429743","pre","","","","","03-23-2024","02:00PM ET","Cincinnati","Bradley","","",
"03/22/2024 23:02:02","","pre","","Second Round","MIDWEST","CBS","03-23-2024","03:15PM ET","Gonzaga","Kansas","","",
"03/22/2024 23:02:02","","pre","","Second Round","MIDWEST","CBS","03-23-2024","03:15PM ET","Kansas","Gonzaga","","",
"03/22/2024 23:02:02","2426907","pre","","","","","03-23-2024","03:30PM ET","UC San Diego","Chicago St.","","",
"03/22/2024 23:02:02","2426907","pre","","","","","03-23-2024","03:30PM ET","Chicago St.","UC San Diego","","",
"03/22/2024 23:02:02","2428061","pre","","","","","03-23-2024","04:00PM ET","Alabama A&M","Norfolk St.","","",
"03/22/2024 23:02:02","2428061","pre","","","","","03-23-2024","04:00PM ET","Norfolk St.","Alabama A&M","","",
"03/22/2024 23:02:02","2426909","pre","","","","","03-23-2024","05:30PM ET","Seattle U","Delaware St.","","",
"03/22/2024 23:02:02","2426909","pre","","","","","03-23-2024","05:30PM ET","Delaware St.","Seattle U","","",
"03/22/2024 23:02:02","","pre","","Second Round","WEST","CBS","03-23-2024","05:30PM ET","Michigan St.","North Carolina","","",
"03/22/2024 23:02:02","","pre","","Second Round","WEST","CBS","03-23-2024","05:30PM ET","North Carolina","Michigan St.","","",
"03/22/2024 23:02:02","","pre","","Second Round","EAST","TNT","03-23-2024","06:10PM ET","Washington St.","Iowa St.","","",
"03/22/2024 23:02:02","","pre","","Second Round","EAST","TNT","03-23-2024","06:10PM ET","Iowa St.","Washington St.","","",
"03/22/2024 23:02:02","2428862","pre","","","","","03-23-2024","07:00PM ET","Virginia Tech","Ohio St.","","",
"03/22/2024 23:02:02","2428862","pre","","","","","03-23-2024","07:00PM ET","Ohio St.","Virginia Tech","","",
"03/22/2024 23:02:02","","pre","","Second Round","SOUTH","TBS","03-23-2024","07:10PM ET","Oakland","NC State","","",
"03/22/2024 23:02:02","","pre","","Second Round","SOUTH","TBS","03-23-2024","07:10PM ET","NC State","Oakland","","",
"03/22/2024 23:02:02","","pre","","Second Round","MIDWEST","CBS","03-23-2024","08:00PM ET","Texas","Tennessee","","",
"03/22/2024 23:02:02","","pre","","Second Round","MIDWEST","CBS","03-23-2024","08:00PM ET","Tennessee","Texas","","",
"03/22/2024 23:02:02","","pre","","Second Round","EAST","TNT","03-23-2024","08:40PM ET","Duquesne","Illinois","","",
"03/22/2024 23:02:02","","pre","","Second Round","EAST","TNT","03-23-2024","08:40PM ET","Illinois","Duquesne","","",
"03/22/2024 23:02:02","","pre","","Second Round","MIDWEST","TBS","03-23-2024","09:40PM ET","Oregon","Creighton","","",
"03/22/2024 23:02:02","","pre","","Second Round","MIDWEST","TBS","03-23-2024","09:40PM ET","Creighton","Oregon","","",
"03/22/2024 23:02:02","","pre","","Second Round","EAST","","03-24-2024","TBA","Northwestern","UConn","","",
"03/22/2024 23:02:02","","pre","","Second Round","EAST","","03-24-2024","TBA","UConn","Northwestern","","",
"03/22/2024 23:02:02","","pre","","Second Round","EAST","","03-24-2024","TBA","","San Diego St.","","",
"03/22/2024 23:02:02","","pre","","Second Round","EAST","","03-24-2024","TBA","San Diego St.","","","",
"03/22/2024 23:02:02","","pre","","Second Round","WEST","","03-24-2024","TBA","Baylor","Clemson","","",
"03/22/2024 23:02:02","","pre","","Second Round","WEST","","03-24-2024","TBA","Clemson","Baylor","","",
"03/22/2024 23:02:02","","pre","","Second Round","SOUTH","","03-24-2024","TBA","Marquette","Colorado","","",
"03/22/2024 23:02:02","","pre","","Second Round","SOUTH","","03-24-2024","TBA","Colorado","Marquette","","",
"03/22/2024 23:02:02","2426904","pre","","","","","03-24-2024","11:00AM ET","Northern Colo.","Cleveland St.","","",
"03/22/2024 23:02:02","2426904","pre","","","","","03-24-2024","11:00AM ET","Cleveland St.","Northern Colo.","","",
"03/22/2024 23:02:02","2426906","pre","","","","","03-24-2024","01:00PM ET","Montana","Presbyterian","","",
"03/22/2024 23:02:02","2426906","pre","","","","","03-24-2024","01:00PM ET","Presbyterian","Montana","","",
"03/22/2024 23:02:02","2429740","pre","","","","","03-24-2024","02:00PM ET","Minnesota","Indiana St.","","",
"03/22/2024 23:02:02","2429740","pre","","","","","03-24-2024","02:00PM ET","Indiana St.","Minnesota","","",
"03/22/2024 23:02:02","2426908","pre","","","","","03-24-2024","03:30PM ET","Fairfield","Little Rock","","",
"03/22/2024 23:02:02","2426908","pre","","","","","03-24-2024","03:30PM ET","Little Rock","Fairfield","","",
"03/22/2024 23:02:02","2429739","pre","","","","","03-24-2024","04:00PM ET","Georgia","Wake Forest","","",
"03/22/2024 23:02:02","2429739","pre","","","","","03-24-2024","04:00PM ET","Wake Forest","Georgia","","",
"03/22/2024 23:02:02","2426910","pre","","","","","03-24-2024","05:30PM ET","Quinnipiac","Evansville","","",
"03/22/2024 23:02:02","2426910","pre","","","","","03-24-2024","05:30PM ET","Evansville","Quinnipiac","","",
"03/22/2024 23:02:02","2429741","pre","","","","","03-24-2024","07:30PM ET","VCU","South Fla.","","",
"03/22/2024 23:02:02","2429741","pre","","","","","03-24-2024","07:30PM ET","South Fla.","VCU","","",
"03/22/2024 23:02:02","2429742","pre","","","","","03-24-2024","09:00PM ET","Iowa","Utah","","",
"03/22/2024 23:02:02","2429742","pre","","","","","03-24-2024","09:00PM ET","Utah","Iowa","","",
"03/22/2024 23:02:02","2429738","pre","","","","","03-24-2024","09:30PM ET","Boston College","UNLV","","",
"03/22/2024 23:02:02","2429738","pre","","","","","03-24-2024","09:30PM ET","UNLV","Boston College","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","EAST","","03-28-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","EAST","","03-28-2024","TBA","","","","",
